iter	Passed	Remaining
868	1830	275
869	1831	273
870	1833	271
871	1835	269
872	1837	267
873	1839	265
874	1841	263
875	1845	261
876	1847	259
877	1848	256
878	1850	254
879	1852	252
880	1853	250
881	1855	248
882	1857	246
883	1859	244
884	1861	241
885	1863	239
886	1865	237
887	1866	235
888	1868	233
889	1870	231
890	1871	228
891	1873	226
892	1875	224
893	1877	222
894	1879	220
895	1881	218
896	1883	216
897	1885	214
898	1887	212
899	1888	209
900	1890	207
901	1891	205
902	1893	203
903	1894	201
904	1896	199
905	1898	196
906	1900	194
907	1903	192
908	1905	190
909	1907	188
910	1909	186
911	1911	184
912	1913	182
913	1915	180
914	1916	178
915	1918	175
916	1920	173
917	1922	171
918	1924	169
919	1926	167
920	1928	165
921	1929	163
922	1931	161
923	1932	158
924	1934	156
925	1936	154
926	1938	152
927	1940	150
928	1942	148
929	1944	146
930	1946	144
931	1948	142
932	1950	140
933	1952	137
934	1954	135
935	1956	133
936	1958	131
937	1961	129
938	1962	127
939	1964	125
940	1966	123
941	1968	121
942	1970	119
943	1972	117
944	1974	114
945	1976	112
946	1978	110
947	1980	108
948	1982	106
949	1984	104
950	1986	102
951	1988	100
952	1990	98
953	1992	96
954	1994	93
955	1996	91
956	1998	89
957	1999	87
958	2001	85
959	2003	83
960	2005	81
961	2007	79
962	2009	77
963	2011	75
964	2013	73
965	2014	70
966	2016	68
967	2018	66
968	2020	64
969	2022	62
970	2024	60
971	2025	58
972	2027	56
973	2029	54
974	2031	52
975	2033	50
976	2035	47
977	2037	45
978	2039	43
979	2040	41
980	2042	39
981	2044	37
982	2045	35
983	2046	33
984	2048	31
985	2050	29
986	2052	27
987	2054	24
988	2056	22
989	2058	20
990	2060	18
991	2062	16
992	2064	14
993	2065	12
994	2067	10
995	2068	8
996	2071	6
997	2072	4
998	2074	2
999	2076	0
